[28/Sep/2025:10:46:03 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18305] [Gzip 6.86] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:10:46:50 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 10.0.0.2] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[28/Sep/2025:10:46:51 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18305] [Gzip 6.86] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:10:46:53 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/manifest.json?v=1759046816" [Client 172.17.0.1] [Length 319] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:11:13:00 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[28/Sep/2025:11:13:01 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18301] [Gzip 6.86] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:11:32:05 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:11:32:07 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18221] [Gzip 6.90] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:11:37:36 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:11:37:37 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18221] [Gzip 6.90] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:11:48:15 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:11:48:17 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18271] [Gzip 6.89] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:11:48:19 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:11:48:19 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18271] [Gzip 6.89] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:12:30:40 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[28/Sep/2025:12:30:41 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[28/Sep/2025:12:30:42 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18403] [Gzip 6.83] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:12:30:42 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18403] [Gzip 6.83] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:12:50:05 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:12:50:07 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18402] [Gzip 6.83] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:12:58:49 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:12:58:50 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18402] [Gzip 6.83] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:13:09:17 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:13:09:18 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18163] [Gzip 6.93] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:14:21:22 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:14:21:24 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18365] [Gzip 6.86] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:15:02:22 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 10.0.0.2] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:15:02:25 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 10.0.0.2] [Length 18516] [Gzip 6.78] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:16:51:41 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 10.0.0.2] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:16:51:43 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 10.0.0.2] [Length 18497] [Gzip 6.75] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:16:59:51 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:16:59:51 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18497] [Gzip 6.75] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:17:14:22 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 10.0.0.2] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
[28/Sep/2025:17:14:23 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 10.0.0.2] [Length 18483] [Gzip 6.76] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:17:14:24 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/manifest.json?v=1759070619" [Client 10.0.0.2] [Length 319] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "https://dash.s4home.dpdns.org/"
