[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/movie/9355" [Client 172.17.0.1] [Length 61704] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/movie/507086" [Client 172.17.0.1] [Length 104077] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/movie/413279" [Client 172.17.0.1] [Length 23668] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/trending?page=1" [Client 172.17.0.1] [Length 14204] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/movies?page=1" [Client 172.17.0.1] [Length 14628] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/movies?page=1&primaryReleaseDateGte=2025-09-28" [Client 172.17.0.1] [Length 13307] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/tv?page=1&firstAirDateGte=2025-09-28" [Client 172.17.0.1] [Length 13507] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/tv?page=1" [Client 172.17.0.1] [Length 12551] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/avatarproxy/9252f45dace245fb841e29360a8a447d?v=null" [Client 172.17.0.1] [Length 2549] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:17 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/trending?page=2" [Client 172.17.0.1] [Length 13066] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/movie/293660" [Client 172.17.0.1] [Length 134719] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:18 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/movie/534" [Client 172.17.0.1] [Length 79504] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
