[28/Sep/2025:08:25:41 +0000] - 200 200 - POST http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRNuq&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:05 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/badges" [Client 172.17.0.1] [Length 132] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:06 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRNvP&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 1] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:06 +0000] - 200 200 - POST http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRU0N&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:10 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/badges" [Client 172.17.0.1] [Length 132] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:31 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRU0h&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 1] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:32 +0000] - 200 200 - POST http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRa9M&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:57 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRaAS&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 1] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:26:57 +0000] - 200 200 - POST http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRgHS&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:27:22 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRgI5&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 1] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
